University_category,Department,Gender,Age,YearofStudy,CGPA,credits_completed,study_strategy,how_many_courses_retaken,year1,year2,year3,year4,reason_for_retaking_course_01,reason_for_retaking_course_02,reason_for_retaking_course_03,reason_for_retaking_course_04,reason_for_retaking_course_05,reason_for_retaking_course_06,subject_area,attendance,study_time,co-curricular_activities,co-curricular_activities_time,co-curricular_activities_stress,involvedInStudentPolitics,studentPoliticsTime,studyHabits,formativeAssessmentsMarks,midtermExamsMarks,finalExamsMarks,confidence,familyResponsibilities,part-timeJob,part-timeJob_time,stressAcademicJourney,livingArrangement,supportAcademicChallenges,studyEnvironment,helpFromClassmates,engaged_classroom_discussions,time_management_skills,ever_retaken
Public,Engineering and Technology,Male,24,4th Year 2nd Semester,3.35,140,Lecture Materials and Self-Sourced Resources,2,Yes,No,Yes,No,0,0,Personal issues,0,0,0,Math,60-70%,8-12h,Yes,3-7h,No,Yes,1-3h,Only before exams,50-60%,60-70%,50-60%,3,No,Tuition,3-7h,No,University dorm,No,4,No,Rarely,3,Yes
National,Sciences,Male,24,3rd Year 2nd Semester,3.45,120,Group Study,2,No,Yes,Yes,No,0,0,0,Poor time management,0,0,Math,Below 50%,3-7h,No,0,Maybe,Yes,8-12h,Irregular,60-70%,60-70%,Below 50%,3,Yes,Business,more than 12,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,4,Yes
National,Sciences,Male,25,4th Year 1st Semester,3.25,140,Group Study,2,No,No,Yes,Yes,0,0,0,0,Health issues,0,Math,50-60%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,Below 50%,50-60%,60-70%,4,Yes,Tuition,3-7h,No,Off-campus apartment,Yes,3,Yes,Sometimes,2,Yes
Private,Sciences,Male,23,2nd Year 2nd Semester,3,80,Group Study,1,Yes,No,No,No,0,0,0,0,Health issues,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,Yes,more than 12,Maybe,No,0,Irregular,60-70%,60-70%,60-70%,1,No,Not Applicable,0,Yes,With family,Yes,4,Yes,Rarely,4,Yes
Public,Life Sciences,Male,22,2nd Year 1st Semester,3,60,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,0,Personal issues,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Yes,No,0,Only before exams,50-60%,50-60%,60-70%,2,No,Not Applicable,0,Yes,University dorm,No,3,Yes,Sometimes,2,No
National,Sciences,Male,24,3rd Year 2nd Semester,3.25,120,Lecture Materials and Self-Sourced Resources,2,No,Yes,Yes,No,0,0,0,Poor time management,0,0,Math,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,60-70%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,23,2nd Year 2nd Semester,3,100,Group Study,1,No,Yes,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,No,0,Yes,Yes,8-12h,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,3,80,Group Study,1,Yes,No,No,No,0,0,0,Poor time management,0,0,Math,Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Private,Life Sciences,Male,24,4th Year 1st Semester,3.25,140,Lecture Materials and Self-Sourced Resources,2,Yes,No,Yes,No,0,0,0,0,Health issues,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,8-12h,No,0,No,Yes,more than 12,Only before exams,50-60%,60-70%,60-70%,4,Yes,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,Yes
National,Sciences,Male,22,2nd Year 2nd Semester,3.25,80,Group Study,1,Yes,No,No,No,0,0,0,Poor time management,0,0,Math,Below 50%,3-7h,Yes,8-12h,Maybe,No,0,Irregular,50-60%,60-70%,60-70%,4,No,Tuition,8-12h,Yes,With family,Yes,3,Yes,Sometimes,4,Yes
Private,Sciences,Male,21,1st Year 2nd Semester,2.9,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,3,Yes
National,Business Studies,Male,22,2nd Year 2nd Semester,3,80,Group Study,2,Yes,Yes,No,No,0,0,Personal issues,0,0,0,Business,Below 50%,8-12h,No,0,No,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,Yes,Tuition,3-7h,Yes,With family,Yes,4,Yes,Sometimes,3,Yes
